Iteration,packageId,Duration,ErrorMessage
1,newtonsoft.json,696,
2,newtonsoft.json,569,
3,newtonsoft.json,616,
4,newtonsoft.json,581,
5,newtonsoft.json,606,
1,paket,686,
2,paket,704,
3,paket,690,
4,paket,698,
5,paket,726,
1,fake,719,
2,fake,705,
3,fake,683,
4,fake,658,
5,fake,646,
1,perseuslibs,10035,
2,perseuslibs,621,
3,perseuslibs,630,
4,perseuslibs,650,
5,perseuslibs,640,
1,minet,3760,
2,minet,406,
3,minet,399,
4,minet,406,
5,minet,407,
1,latticework.cs,4225,
2,latticework.cs,483,
3,latticework.cs,479,
4,latticework.cs,498,
5,latticework.cs,483,
1,ecosqlserver,6321,
2,ecosqlserver,566,
3,ecosqlserver,545,
4,ecosqlserver,570,
5,ecosqlserver,578,
1,ecowpf,769,
2,ecowpf,565,
3,ecowpf,551,
4,ecowpf,562,
5,ecowpf,591,
1,npgsql,29115,
2,npgsql,356,
3,npgsql,359,
4,npgsql,360,
5,npgsql,358,
